n_subjects,noise_scaling,tpr
16,2,1
16,3,0.988
16,4,0.905
16,5,0.755
16,6,0.62
16,7,0.519
16,8,0.458
16,9,0.451
16,10,0.376
17,1,1
17,2,1
17,3,0.995
17,4,0.913
17,5,0.765
17,6,0.642
17,7,0.527
17,8,0.444
17,9,0.448
17,10,0.371
18,1,1
18,2,1
18,3,0.991
18,4,0.913
18,5,0.767
18,6,0.645
18,7,0.526
18,8,0.482
18,9,0.45
18,10,0.421
19,1,1
19,2,0.999
19,3,0.991
19,4,0.921
19,5,0.776
19,6,0.643
19,7,0.568
19,8,0.469
19,9,0.453
19,10,0.421
20,1,1
20,2,1
20,3,0.989
20,4,0.922
20,5,0.777
20,6,0.629
20,7,0.548
20,8,0.509
20,9,0.447
20,10,0.395
21,1,1
21,2,0.999
21,3,0.988
21,4,0.924
21,5,0.787
21,6,0.66
21,7,0.559
21,8,0.507
21,9,0.457
21,10,0.466
22,1,1
22,2,1
22,3,0.988
22,4,0.926
22,5,0.779
22,6,0.673
22,7,0.534
22,8,0.513
22,9,0.434
22,10,0.472
23,1,1
23,2,1
23,3,0.989
23,4,0.926
23,5,0.781
23,6,0.674
23,7,0.57
23,8,0.494
23,9,0.472
23,10,0.431
24,1,1
24,2,1
24,3,0.989
24,4,0.927
24,5,0.797
24,6,0.664
24,7,0.536
24,8,0.48
24,9,0.452
24,10,0.433
25,1,1
25,2,1
25,3,0.994
25,4,0.915
25,5,0.771
25,6,0.663
25,7,0.56
25,8,0.513
25,9,0.45
25,10,0.437
26,1,1
26,2,1
26,3,0.986
26,4,0.912
26,5,0.785
26,6,0.67
26,7,0.572
26,8,0.496
26,9,0.488
26,10,0.428
27,1,1
27,2,1
27,3,0.994
27,4,0.911
27,5,0.784
27,6,0.635
27,7,0.555
27,8,0.492
27,9,0.437
27,10,0.422
28,1,1
28,2,1
28,3,0.997
28,4,0.929
28,5,0.78
28,6,0.645
28,7,0.554
28,8,0.49
28,9,0.444
28,10,0.433
29,1,1
29,2,1
29,3,0.99
29,4,0.937
29,5,0.817
29,6,0.637
29,7,0.566
29,8,0.501
29,9,0.451
29,10,0.454
30,1,1
30,2,1
30,3,0.996
30,4,0.928
30,5,0.803
30,6,0.673
30,7,0.56
30,8,0.511
30,9,0.467
30,10,0.436
31,1,1
31,2,1
31,3,0.99
31,4,0.921
31,5,0.81
31,6,0.698
31,7,0.559
31,8,0.509
31,9,0.418
31,10,0.41
32,1,1
32,2,1
32,3,0.991
32,4,0.919
32,5,0.791
32,6,0.665
32,7,0.568
32,8,0.497
32,9,0.44
32,10,0.442
33,1,1
33,2,1
33,3,0.996
33,4,0.918
33,5,0.803
33,6,0.655
33,7,0.555
33,8,0.48
33,9,0.464
33,10,0.437
34,1,1
34,2,1
34,3,0.99
34,4,0.935
34,5,0.81
34,6,0.668
34,7,0.55
34,8,0.51
34,9,0.447
34,10,0.408
35,1,1
35,2,0.999
35,3,0.994
35,4,0.936
35,5,0.821
35,6,0.68
35,7,0.579
35,8,0.5
35,9,0.473
35,10,0.432
36,1,1
36,2,0.999
36,3,0.996
36,4,0.915
36,5,0.791
36,6,0.665
36,7,0.539
36,8,0.514
36,9,0.458
36,10,0.438
37,1,1
37,2,1
37,3,0.992
37,4,0.915
37,5,0.778
37,6,0.674
37,7,0.551
37,8,0.499
37,9,0.446
37,10,0.427
38,1,1
38,2,1
38,3,0.993
38,4,0.918
38,5,0.787
38,6,0.645
38,7,0.564
38,8,0.482
38,9,0.418
38,10,0.426
39,1,1
39,2,1
39,3,0.987
39,4,0.925
39,5,0.783
39,6,0.629
39,7,0.544
39,8,0.494
39,9,0.434
39,10,0.42
40,1,1
40,2,1
40,3,0.99
40,4,0.905
40,5,0.797
40,6,0.636
40,7,0.582
40,8,0.517
40,9,0.471
40,10,0.431
41,1,1
41,2,1
41,3,0.991
41,4,0.924
41,5,0.773
41,6,0.649
41,7,0.562
41,8,0.479
41,9,0.451
41,10,0.417
42,1,1
42,2,1
42,3,0.994
42,4,0.913
42,5,0.793
42,6,0.654
42,7,0.544
42,8,0.5
42,9,0.458
42,10,0.437
43,1,1
43,2,1
43,3,0.992
43,4,0.925
43,5,0.781
43,6,0.677
43,7,0.568
43,8,0.513
43,9,0.444
43,10,0.43
44,1,1
44,2,1
44,3,0.991
44,4,0.93
44,5,0.788
44,6,0.663
44,7,0.587
44,8,0.53
44,9,0.491
44,10,0.445
45,1,1
45,2,1
45,3,0.989
45,4,0.932
45,5,0.807
45,6,0.659
45,7,0.558
45,8,0.483
45,9,0.468
45,10,0.435
46,1,1
46,2,1
46,3,0.993
46,4,0.918
46,5,0.806
46,6,0.647
46,7,0.559
46,8,0.472
46,9,0.44
46,10,0.426
47,1,1
47,2,1
47,3,0.994
47,4,0.925
47,5,0.803
47,6,0.626
47,7,0.537
47,8,0.487
47,9,0.434
47,10,0.439
48,1,1
48,2,1
48,3,0.991
48,4,0.934
48,5,0.766
48,6,0.681
48,7,0.575
48,8,0.507
48,9,0.451
48,10,0.429
49,1,1
49,2,1
49,3,0.99
49,4,0.922
49,5,0.781
49,6,0.638
49,7,0.566
49,8,0.505
49,9,0.444
49,10,0.418
50,1,1
50,2,1
50,3,0.989
50,4,0.934
50,5,0.784
50,6,0.679
50,7,0.558
50,8,0.517
50,9,0.434
50,10,0.453
